City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,chinchani,19.8667,72.7,300.45,70,0,5.3,IN,1682174898
269,mlimba,-8.8,35.8167,298.1,93,80,0.93,TZ,1682174898
270,san matias,-16.3667,-58.4,301.18,58,4,1.68,BO,1682174899
271,puerto colombia,10.9878,-74.9547,301.2,77,76,4.41,CO,1682174900
272,siguiri,11.6667,-9.5,313.42,9,98,3.1,GN,1682174900
273,lobito,-12.3481,13.5456,301.46,71,69,5.26,AO,1682174901
274,sao gabriel da cachoeira,-0.1303,-67.0892,298.04,94,75,1.03,BR,1682174901
275,russellville,35.2784,-93.1338,287.68,63,0,2.57,US,1682174901
276,umred,20.85,79.3333,301.31,38,63,5.0,IN,1682174902
277,lorengau,-2.0226,147.2712,300.79,78,99,2.3,PG,1682174902
278,chulakkurgan,43.765,69.1814,287.06,31,77,3.48,KZ,1682174903
279,kavieng,-2.5744,150.7967,300.65,82,100,5.83,PG,1682174903
280,itoman,26.1247,127.6694,296.16,81,100,5.14,JP,1682174904
281,lundazi,-12.2929,33.1782,294.71,86,94,3.05,ZM,1682174904
282,miasskoye,55.2784,61.8905,283.07,88,100,4.17,RU,1682174904
283,hovd,48.0056,91.6419,275.97,25,100,0.17,MN,1682174905
284,soio,-6.1349,12.3689,301.18,72,100,3.73,AO,1682174906
285,castillos,-34.1667,-53.8333,295.61,47,97,0.86,UY,1682174906
286,fort mcmurray,56.7268,-111.381,274.88,64,0,0.51,CA,1682174907
287,itanhem,-17.1664,-40.33,298.03,73,100,3.51,BR,1682174907
288,howard springs,-12.497,131.047,301.1,79,50,2.55,AU,1682174907
289,tazacorte,28.629,-17.9293,294.9,74,75,4.02,ES,1682174908
290,ust-nera,64.5667,143.2,265.29,95,100,1.66,RU,1682174908
291,mount isa,-20.7333,139.5,294.02,35,0,4.12,AU,1682174909
292,waitara,-38.925,174.25,288.27,92,8,5.4,NZ,1682174909
293,santo antonio,-6.3106,-35.4789,304.58,44,90,7.35,BR,1682174910
294,lecheng,25.1238,113.3254,296.65,96,99,0.96,CN,1682174910
295,staritsa,56.5075,34.9354,285.74,52,91,0.51,RU,1682174911
296,campbell river,50.0163,-125.2446,280.15,100,100,3.6,CA,1682174887
297,beitbridge,-22.2167,30.0,304.56,27,31,3.21,ZW,1682174912
298,utrik,11.2278,169.8474,299.99,79,40,9.47,MH,1682174912
299,tromso,69.6496,18.957,272.16,64,75,2.57,NO,1682174913
300,havran,39.5583,27.0983,291.94,52,75,6.17,TR,1682174914
301,eilat,29.5581,34.9482,302.06,39,57,6.69,IL,1682174914
302,santander,43.4647,-3.8044,292.43,56,20,2.68,ES,1682174915
303,nishinoomote,30.7333,131.0,292.0,68,93,7.98,JP,1682174915
304,palmer,42.1584,-72.3287,288.51,71,100,2.57,US,1682174915
305,grand falls-windsor,48.9332,-55.6649,275.65,93,100,1.79,CA,1682174916
306,idri,27.5,13.2667,307.98,9,6,8.42,LY,1682174916
307,mezhdurechensk,53.6942,88.0603,271.34,93,98,0.89,RU,1682174916
308,cookeville,36.1628,-85.5016,286.25,82,76,0.89,US,1682174635
309,camana,-16.6228,-72.7111,296.08,73,22,3.56,PE,1682174916
310,zav'yalovo,56.7847,53.3776,284.48,64,100,1.58,RU,1682174917
311,clinton,42.587,-82.9199,284.16,80,100,1.54,US,1682174729
312,mount pearl,47.5166,-52.7813,277.01,97,100,9.77,CA,1682174736
313,puerto penasco,31.3167,-113.5333,296.12,40,0,1.44,MX,1682174772
314,posto fiscal rolim de moura,-13.0833,-62.2667,302.43,61,72,1.94,BR,1682174917
315,nichinan,31.6,131.3667,290.97,62,80,6.4,JP,1682174918
316,mildura,-34.2,142.15,286.52,80,0,3.86,AU,1682174918
317,gobabis,-22.45,18.9667,299.84,32,100,5.07,NA,1682174918
318,guerrero negro,27.9769,-114.0611,290.67,65,0,4.9,MX,1682174918
319,whitehorse,60.7161,-135.0538,270.43,79,20,1.54,CA,1682174919
320,greenville,35.6127,-77.3663,294.89,75,40,3.6,US,1682174731
321,phuthaditjhaba,-28.5242,28.8158,291.63,24,75,5.25,ZA,1682174919
322,barra dos coqueiros,-10.9089,-37.0386,301.16,83,40,5.66,BR,1682174920
323,jaru,-10.4389,-62.4664,300.81,80,100,1.51,BR,1682174920
324,torbat-e heydariyeh,35.274,59.2195,298.79,12,80,2.57,IR,1682174920
325,yung shue wan,22.2333,114.1167,296.9,89,77,7.49,HK,1682174921
326,mirny,62.5353,113.9611,258.51,94,8,0.77,RU,1682174921
327,pisco,-13.7,-76.2167,297.18,78,0,3.6,PE,1682174922
328,kirakira,-10.4544,161.9205,300.14,84,97,2.96,SB,1682174922
329,punta arenas,-53.15,-70.9167,281.21,61,0,7.72,CL,1682174922
330,tres lagoas,-20.7511,-51.6783,297.62,65,0,2.59,BR,1682174923
331,buala,-8.145,159.5921,300.19,83,21,2.55,SB,1682174923
332,mogadishu,2.0371,45.3438,303.08,84,75,4.12,SO,1682174708
333,puerto el triunfo,13.2833,-88.55,302.66,64,38,1.64,SV,1682174924
334,peace river,56.2501,-117.286,275.74,69,100,2.06,CA,1682174924
335,birnin kudu,11.4459,9.4984,314.06,12,70,3.15,NG,1682174924
336,delligsen,51.9412,9.8027,296.57,54,100,4.52,DE,1682174924
337,oriximina,-1.7656,-55.8661,299.46,89,100,0.69,BR,1682174924
338,porto novo,6.4965,2.6036,305.05,60,100,5.19,BJ,1682174825
339,bayan,46.0833,127.4,275.45,26,0,3.7,CN,1682174925
340,tianshui,34.5439,105.6897,275.6,93,100,2.03,CN,1682174925
341,tura,25.5198,90.2201,297.72,43,9,1.91,IN,1682174925
342,chapaev,50.2,51.1667,287.57,61,69,8.23,KZ,1682174926
343,priozersk,61.0393,30.1291,285.86,52,7,3.41,RU,1682174926
344,concepcion,-36.827,-73.0498,286.04,94,75,2.57,CL,1682174751
345,selfoss,63.9331,-20.9971,278.33,78,97,3.17,IS,1682174926
346,ad dabbah,18.05,30.95,314.03,6,0,0.78,SD,1682174927
347,peterhead,57.5058,-1.7981,284.51,86,83,7.25,GB,1682174927
348,dongola,19.1667,30.4833,314.1,6,6,1.63,SD,1682174927
349,kapuskasing,49.4169,-82.4331,275.2,100,100,3.6,CA,1682174928
350,nawanshahr,31.1167,76.1333,296.34,26,53,5.62,IN,1682174928
351,road town,18.4167,-64.6167,301.2,69,40,3.6,VG,1682174928
352,puerto deseado,-47.7503,-65.8938,286.57,58,51,13.67,AR,1682174928
353,santa elena de uairen,4.6167,-61.1333,294.95,85,100,2.44,VE,1682174928
354,knik-fairview,61.5126,-149.6001,278.08,67,75,1.54,US,1682174929
355,boa vista,2.8197,-60.6733,298.14,88,100,1.54,BR,1682174929
356,nizhnesortymskiy,62.4397,71.7603,273.88,98,100,0.27,RU,1682174929
357,el alto,-4.2714,-81.2147,299.96,77,100,1.66,PE,1682174930
358,nelson bay,-32.7167,152.15,293.15,94,71,1.79,AU,1682174930
359,shreveport,32.5251,-93.7502,292.12,68,20,2.06,US,1682174930
360,sidon,33.5631,35.3689,294.08,66,13,4.3,LB,1682174930
361,basni,27.1667,73.65,304.08,7,0,4.51,IN,1682174930
